,datetime_event_began,NERC_region,area_affected,event_type,demand_loss_(MW),number_of_customers_affected,datetime_of_restoration
232,2005-08-31 16:00:00+00:00,FRCC,Member Service Territory is located in the West coast of Florida from Tallahassee to Fort Myers,Hurricane Katrina disrupted normal gas supplies distribution. Public appeals for conservation were issued.,0.0,0,"9/12/05, 8:00 a.m."
233,2005-09-12 12:32:00+00:00,WECC," Los Angeles, California",Breaker protection cable accidentally cut,2578.0,900000,"9/12/05, 1:56 p.m."
234,2005-09-13 14:14:00+00:00,PR,Island of Puerto Rico,Voltage Reduction/Load Shed,249.0,66480,"9/13/05, 2:29 p.m."
235,2005-09-13 18:30:00+00:00,MAIN,Southeast Wisconsin and Fox Valley,Severe Storm,600.0,110000,"9/16/05, 8:00 p.m."
236,2005-09-14 15:00:00+00:00,SERC,Eastern North Carolina,Hurricane Ophelia,215.0,60000,"9/15/05, 3:00 p.m."
237,2005-09-21 19:00:00+00:00,MRO,Minnesota,High Winds/Tornados,0.0,200000,"9/27/05, 11:00 p.m."
238,2005-09-22 11:00:00+00:00,ECAR,Southeast Michigan,Severe Thunderstorm,366.0,53000,"9/26/05, 11:30 p.m."
239,2005-09-22 12:00:00+00:00,FRCC,"Counties of Alachua, Bay, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",Hurricane Rita disrupted fuel supply in the Gulf of Mexico. Public Appeals for conservation were issued.,0.0,0,"9/29/05, 12:00 p.m."
240,2005-09-23 07:00:00+00:00,FRCC," Lakeland, Florida",Hurricane Rita  disrupted normal gas allotment through natural gas pipelines (FGT & Gulf stream). Public Appeals for conservation were issued.,0.0,0,"9/28/05, 11:29 a.m."
241,2005-09-23 13:06:00+00:00,SPP,West and Southwest Louisiana,Hurricane Rita,350.0,125000,"10/06/05, 2:30 p.m."
242,2005-09-23 17:00:00+00:00,ERCOT,"Houston, Texas and the surrounding suburban areas",Hurricane Rita,1950.0,715000,"9/24/05, 8:00 p.m."
243,2005-09-23 21:00:00+00:00,SPP,"Texas, Louisiana, Arkansas, and Mississippi",Hurricane Rita,0.0,766000,"9/25/05, 7:30 a.m."
244,2005-09-24 06:00:00+00:00,ERCOT,"Nacogdoches, Lufkin, Tyler, Jacksonville, Rusk, Paris, Commerce, Huntington",Hurricane Rita,260.0,200000," 10/02/05, 5:00 p.m."
245,2005-09-24 10:00:00+00:00,ECAR,"Shreveport, Louisiana",Hurricane Rita,700.0,190000,"9/28/05, 6:00 p.m."
246,2005-10-02 17:40:00+00:00,PR,Island of Puerto Rico,Voltage Reduction/Load Shed,312.0,71240,"10/02/05, 5:54 p.m."
247,2005-10-18 15:19:00+00:00,PR,Island of Puerto Rico,Voltage Reduction/Load Shed,460.0,142591,"10/18/05, 3: 37 p.m."
248,2005-10-22 09:44:00+00:00,PR,Island of Puerto Rico,Voltage Reduction/Load Shed,360.0,85682,"10/22/05, 11:40 a.m."
249,2005-10-23 20:00:00+00:00,FRCC,"South Florida, Naples, Ft. Myers, Miami, Ft. Lauderdale, West Palm Beach and Martin county",Hurricane Wilma,10000.0,3241437,"10/24/05, 2:00 p.m."
250,2005-10-24 04:00:00+00:00,FRCC,"Florida counties of Collier, Charlotte and Lee",Hurricane Wilma,280.0,105000,"10/24/05, 4:00 p.m."
251,2005-10-24 07:00:00+00:00,FRCC,"South Florida - Cities of Key West, Clewiston, Lake Worth, and Ft. Pierce",Hurricane Wilma ,148.0,84900,"11/10/05, 12:00 a.m."
252,2005-10-24 20:00:00+00:00,MAAC,"Maryland, North Central West Virginia, Southwestern Pennsylvania, and Northern Pennsylvania",Hurricane Wilma,400.0,303795,"11/02/05, 4:30 p.m."
253,2005-11-03 18:47:00+00:00,WECC,"San Francisco Bay area, California",Plant Tripped,136.0,0,"11/03/05, 7:00 p.m."
254,2005-11-06 07:30:00+00:00,ECAR,Southeast Michigan,Severe Thunderstorm,212.0,118000,"11/11/05, 11:30  p.m."
255,2005-11-12 16:00:00+00:00,Other,Southeast Wisconsin ,Severe Thunderstorms,10.0,48000,"11/14/05, 6:00 p.m."
256,2005-11-12 23:00:00+00:00,ECAR,Western and Central portions of Michigan's Lower Peninsula,Severe Thunderstorm,408.0,272355,"11/14/05, 11:59 p.m."
257,2005-12-15 04:00:00+00:00,SERC,Piedmont North Carolina and South Carolina,Ice Storm,3500.0,683000,"12/21/05, 5:00 p.m."
258,2005-12-15 05:05:00+00:00,SERC,Northeast Georgia,Ice Storm,75.0,52659,"12/16/05, 12:10  p.m."
259,2005-12-31 06:00:00+00:00,WECC,Northern and Central California,Severe Storms,800.0,1667316,"01/05/06, 9:00 a.m."
260,2006-01-14 15:45:00+00:00,RFC,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",High Winds,0.0,142315,5:30 p.m. January 16
261,2006-01-18 15:16:00+00:00,NPCC,Southern and Central Maine,Severe Storm,75.0,63000,6:34 p.m. January 18
262,2006-02-04 01:34:00+00:00,WECC,"Snohomish County, Washington",Strong Winds,150.0,123827,12:01 a.m. February 06
263,2006-02-04 04:30:00+00:00,WECC,Western Washington,Severe Windstorm,0.0,140000,8:00  a.m. February 08
264,2006-02-11 21:00:00+00:00,RFC,Baltimore Metropolitan and Central Maryland,Major Snow Storm,500.0,180000,11:00 p.m. February 14
265,2006-02-12 00:06:00+00:00,RFC,"Washington DC, Montgomery and Prince Georges Counties MD",Major Snow Storm,300.0,60000,5:44 p.m.   February 14
266,2006-02-12 02:00:00+00:00,RFC,Entire Atlantic City Electric territory Southern New Jersey,Winter Snow/Ice Storm,80.0,130000,4:00 p.m. February 14
267,2006-02-12 02:00:00+00:00,RFC,Entire Delmarva Power service territory,Winter Snow/Ice Storm,50.0,58000,7:00 a.m. February 13
268,2006-02-12 05:55:00+00:00,RFC,Northern and Northwestern Virginia,Severe Snow Storm,250.0,126000,2:00 p.m. February 12
269,2006-02-16 12:00:00+00:00,RFC,"Muskegon, Michigan easterly to Bay City, Michigan",Severe Thunderstorm/ Snow/Ice Storm,100.0,252089,11:00 p.m. February 20
270,2006-02-16 00:00:00+00:00,MRO,North Dakota,Fuel Supply - Deficiency Coal Rail Transportation Interruption,1650.0,0,Ongoing
271,2006-02-17 04:32:00+00:00,NPCC,Upstate New York,Severe Weather,250.0,200000,12:00 p.m. February 17
272,2006-02-18 08:50:00+00:00,WECC,Colorado,Inadequate Electric Resources to Serve Load,428.0,0,4:09 p.m. February 18
273,2006-02-27 18:25:00+00:00,WECC,Northern and Central California,Severe Winter Storm,0.0,160000,2:30 p.m. March 01
274,2006-03-09 14:00:00+00:00,SERC,"Arkansas, Mississippi, Louisiana, Southeast Texas",Severe Weather,0.0,73000,10:00 p.m. March 09
275,2006-03-12 20:30:00+00:00,RFC,"Springfield, Illinois and vicinity",Severe Weather,200.0,65400,12:00 p.m. March 14
276,2006-04-02 21:00:00+00:00,RFC,Southern half of Indiana,Major Storms/Tornadoes,1000.0,186000,4:25 a.m. April 05
277,2006-04-07 08:43:00+00:00,PR,Island of Puerto Rico,Voltage Reduction/Load Shed,116.0,54700,9:29 a.m. April 07
278,2006-04-08 04:00:00+00:00,SERC,North and Central Alabama and Northern Georgia areas,Severe Weather/ Tornadoes,300.0,115589,11:00 a.m. April 08
279,2006-04-17 15:25:00+00:00,ERCOT,ERCOT Region of Texas,Load Shed/Declared EECP,1000.0,200000,7:30 p.m. April 17
280,2006-04-17 16:10:00+00:00,ERCOT,System-wide greater Houston metro area (and across ERCOT),Load Shed/Made Public Appeals/Rolling Blackouts,260.0,68000,6:11 p.m. April 17
281,2006-04-17 16:11:00+00:00,ERCOT,North and East Texas,Load Shed/ Declared EECP,380.0,489478,7:20 p.m. April 17
282,2006-04-17 16:20:00+00:00,ERCOT,State of Texas (all of Austin Energy),Load Shed/Made Public Appeals/Rolling Blackouts,37.0,0,6:30 p.m. April 17
283,2006-04-17 16:35:00+00:00,ERCOT,AEP Texas Central/Texas North,Load Shed/Declared EECP,108.0,51404,6:10 p.m. April 17
284,2006-04-21 07:00:00+00:00,ERCOT,System-wide greater Houston metro area,Severe Weather,219.0,82000,10:00 a.m. April 21
285,2006-04-29 14:55:00+00:00,PR,Island of Puerto Rico,Lightning Storm,237.0,164105,3:45 p.m. April 29
286,2006-05-03 15:30:00+00:00,WECC,City of Bakersfield area,Transmission Equipment Failure/Fire,300.0,55655,9:35 p.m. May 03
287,2006-05-04 14:12:00+00:00,PR,Island of Puerto Rico,Load Shed,140.0,94639,2:45 p.m. May 04
288,2006-05-19 15:13:00+00:00,WECC,"San Francisco Bay area, California",Lightning Strike,133.0,0,10:30 p.m. May 19
289,2006-05-25 19:50:00+00:00,RFC,"Southwest Ohio, Northern Kentucky, Central Indiana",Severe Weather,800.0,210000,9:00 a.m. May 27
290,2006-06-01 14:12:00+00:00,HECO,Island of Oahu,Load Shed,120.0,29300,6:09 p.m. June 01
291,2006-06-01 18:00:00+00:00,RFC,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",Severe Weather,0.0,111555,9:00 a.m. June 03
292,2006-06-01 18:30:00+00:00,RFC,Central Maryland,Severe Thunderstorms,335.0,70000,2:00 p.m. June 03
293,2006-06-11 18:00:00+00:00,SERC,"Charlotte, North Carolina Metropolitan area",Severe Thunderstorm,70.0,72000,9:00 p.m. June 11
294,2006-06-22 14:00:00+00:00,RFC,Ohio and Indiana,Severe Thunderstorms,750.0,195000,11:00 p.m. June 27
295,2006-07-02 18:39:00+00:00,RFC,Northern Virginia,Severe Thunderstorms,300.0,75000,12:31 a.m. July 03
296,2006-07-04 17:30:00+00:00,SERC,Northern Virginia,Severe Thunderstorms,335.0,67000,8:18 p.m. July 04
297,2006-07-16 14:00:00+00:00,RFC,Middle 1/3 of Michigan Lower Peninsula,Severe Lightning Storms,150.0,315000,12:00 a.m. July 21
298,2006-07-17 18:50:00+00:00,NPCC,"Northwest Queens, New York City",Severe Weather/Public Appeals Made/Voltage Reduction,0.0,25000,3:06 a.m. July 25
299,2006-07-17 21:00:00+00:00,RFC,Northern Counties of Illinois,Severe Lightning Storms,0.0,170519,9:00 a.m. July 18
300,2006-07-18 18:36:00+00:00,RFC,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",Severe Lightning Storms,0.0,492955,11:59 p.m. July 23
301,2006-07-18 20:07:00+00:00,NPCC,"Norwalk, Stamford, Connecticut",Lightning Storms/Tripped Lines,0.0,0,10:32 p.m. July 18
302,2006-07-19 11:00:00+00:00,SERC,"Greater Little Rock, Arkansas",Load Reduction/Public Appeals Made,40.0,8000,5:54 p.m. July 19
303,2006-07-19 18:00:00+00:00,MRO,Greater St. Louis Metropolitan area (Missouri and Illinois),Severe Storms (3) (Many customers experienced multiple outages.),1500.0,0,8:00 a.m. July 31
304,2006-07-22 13:09:00+00:00,WECC,California,Widespread Heat Wave/Public Appeals Made,200.0,1271893,4:00 p.m. July 27
305,2006-07-24 14:33:00+00:00,WECC,California,Widespread Heat Wave/CAISO Implementation of Stage 2 Electrical Emergency Plan,414.0,0,5:33 p.m. July 24
306,2006-07-24 14:33:00+00:00,WECC,California,Widespread Heat Wave/CAISO  Implementation of Stage 2 Electrical Emergency Plan,695.0,0,5:33 p.m. July 24
307,2006-07-27 18:38:00+00:00,RFC,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",Severe Thunderstorms,0.0,167564,9:36 p.m. July 29
308,2006-08-01 12:00:00+00:00,RFC,Northern Ohio,Made Public Appeals/Heat Wave,0.0,0,7:00 p.m. August 01
309,2006-08-01 13:00:00+00:00,RFC,"Ohio, Indiana, Kentucky",Made Public Appeals,90.0,0,8:30 p.m. August 01
310,2006-08-02 12:00:00+00:00,MRO,"Midwest ISO's Market Sub-regions:  AMRN, CIN, CILC, CWLD, CWLP, FE, HE, IP, IPL, LGEE, MECS, NIPS, SIGE, SIPC",Declared Energy Emergency Alert 2/Heat Wave,0.0,0,4:45 p.m. August 02
311,2006-08-02 13:00:00+00:00,NPCC,New England,System Wide Voltage Reduction,0.0,0,4:35 p.m. August 02
312,2006-08-02 19:00:00+00:00,NPCC,New England,Severe Thunderstorms,100.0,77000,1:00 a.m. August 03
313,2006-08-03 14:16:00+00:00,PR,Island of Puerto Rico,Shed Firm Load,369.0,227480,2:46 p.m. August 03
314,2006-08-07 13:00:00+00:00,RFC,"Tulsa, Oklahoma",Made Public Appeals,75.0,0,6:00 p.m. August 07
315,2006-08-10 20:00:00+00:00,WECC,Southwest Idaho and Eastern Oregon,Severe Thunderstorm,80.0,65000,12:00 p.m. August 12
316,2006-08-24 21:58:00+00:00,PR,Island of Puerto Rico,Shed Firm Load/Reduced Voltage,180.0,106000,11:25 p.m. August 24
317,2006-09-01 05:30:00+00:00,SERC,Eastern North Carolina,Tropical Storm Ernesto,0.0,61000,10:00 a.m. September 01
318,2006-09-01 06:41:00+00:00,SERC,Virginia and North Carolina,Tropical Storm Ernesto,500.0,333000,3:25 p.m. September 03
319,2006-09-01 10:00:00+00:00,RFC,Southern Delmarva Peninsula,Tropical Storm Ernesto,380.0,105000,2:00 p.m. September 04
320,2006-09-01 15:00:00+00:00,RFC,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",Tropical Storm Ernesto,0.0,146094,11:00 p.m. September 04
321,2006-09-01 20:00:00+00:00,RFC,Southern New Jersey Counties,Tropical Storm Ernesto,400.0,100000,5:00 p.m. September 04
322,2006-09-14 08:56:00+00:00,PR,Island of Puerto Rico,Shed Firm Load/ Reduced Voltage,59.0,34716,9:08 a.m. September 14
323,2006-09-28 20:08:00+00:00,SERC,"North, Central and Eastern Virginia and Northern North Carolina",Severe Thunderstorms,84.0,56500,10:10 p.m. September 28
324,2006-10-02 14:00:00+00:00,RFC,"Chicago Metro, Northeast Illinois",Severe Thunderstorms,0.0,471932,6:00 p.m. October 03
325,2006-10-02 15:05:00+00:00,WECC,"Newhall, San Frenando, Saugus, and Santa Clarita, California",Shed Firm Load,308.0,130000,8:39 p.m. October 02
326,2006-10-03 17:28:00+00:00,ERCOT,"Grimes, Robertson, Fort Bend, Brazos, Burleson and Walker Counties",Shed Firm Load,339.0,0,9:59 p.m. October 03
327,2006-10-12 17:48:00+00:00,NPCC,Western New York State,Snow Storm,600.0,250000,12:00 a.m. October 23
328,2006-10-12 20:00:00+00:00,NPCC,Western New York State,Snow Storm,353.0,120000,11:00 p.m. October 21
329,2006-10-15 07:09:00+00:00,Other,Island of Maui,Earthquakes,110.0,59886,4:12 p.m. October 15
330,2006-10-15 07:09:00+00:00,HECO,Island of Oahu,Earthquakes,1170.0,291000,2:55 p.m. October 16
331,2006-10-20 13:00:00+00:00,RFC,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",High Winds,0.0,90000,5:00 p.m. October 22
332,2006-10-26 05:30:00+00:00,MRO,"Metro Denver and Boulder, Colorado",Wet Snow/Winds,0.0,65000,5:10 p.m. October 27
333,2006-11-15 10:00:00+00:00,ERCOT,System-wide greater Houston area,High Winds,221.0,83000,8:00 p.m. November 15
334,2006-11-15 13:00:00+00:00,WECC,"Whatcom and Skagit Counties, Washington",High Winds,50.0,50000,2:35 a.m. November 19
335,2006-11-15 15:00:00+00:00,SERC,Georgia,Severe Weather,363.0,109000,5:00 p.m. November 15
336,2006-11-26 13:00:00+00:00,WECC,"Snohomish County, Washington",Wind/Snow Storm,180.0,63992,6:00 p.m. December 02
337,2006-11-30 21:00:00+00:00,MRO,Missouri and Illinois,Ice Storm,0.0,550000,6:00 p.m. December 09
338,2006-12-01 18:20:00+00:00,RFC,Ohio,Wind Storm,0.0,59106,6:00 a.m. December 02
339,2006-12-10 19:35:00+00:00,WECC,"San Francisco Bay area, California",Unit Tripped,220.0,0,10:14 p.m. December 10
340,2006-12-13 04:30:00+00:00,WECC,Western Washington,Wind Storm,0.0,700000,11:59 p.m. December 28
341,2006-12-14 00:01:00+00:00,WECC,"City of Seattle, Washington",Wind Storm,750.0,175000,8:00 a.m. December 15
342,2006-12-14 05:30:00+00:00,WECC,"Snohomish County, Washington",Wind Storm,360.0,172060,10:00 p.m. December 20
343,2006-12-14 09:44:00+00:00,WECC,"Oregon, Washington, Idaho, Montana",Wind Storm,258.0,24,2:34 p.m. December 31
344,2006-12-14 12:07:00+00:00,WECC,State of Oregon Coastal area,HIgh Winds,0.0,0,12:00 p.m. December 17
345,2006-12-14 17:00:00+00:00,WECC,"Greater Tacoma area (City of Fircrest, University Place, City of Lakeland) and portions of South Pierce County in State of Washington",High Winds,280.0,75000,4:00 p.m. December 16
346,2006-12-14 19:00:00+00:00,WECC,"Oregon Counties: Multnomah, Clackamas, Washington, Marion",High Winds,0.0,249500,8:00 p.m. December 17
347,2006-12-16 19:30:00+00:00,WECC,"Oregon Counties:  Washington, Yamhill",Transmission Equipment/Fire,350.0,84500,1:00 a.m. December 17
348,2006-12-26 00:01:00+00:00,WECC,Northern California,Severe Weather,420.0,850068,9:13 a.m. December 31
349,2006-12-29 16:25:00+00:00,PR,North Part of the Island,Main Power Transformer Failure/Voltage Reduction/Fire,50.0,18386,6:59 p.m. December 31
350,2006-12-30 22:25:00+00:00,MRO,"Gosper, Harlan, Franklin, Webster, Clay, Adams, Kearney, Phelps, Dawson, Buffalo, Hall, Hamilton, Sherman, Custer, Valley, Greeley, Howard, Merrick, York, Fillmore, Nance, Boone, Wheeler, Madison, Antelope, Pierce, Platte and Seward Counties in Central Nebraska",Severe Weather,300.0,15000,2:25 p.m. January 06
351,2007-01-05 10:44:00+00:00,PR,Island of Puerto Rico,Voltage Reduction,0.0,0,11:13 a.m. January 05
352,2007-01-13 05:00:00+00:00,MRO,Missouri and Illinois,Ice Storm,0.0,225000,12:00 p.m. January 19
353,2007-01-13 07:30:00+00:00,RFC,Eastern and Lower Michigan,Ice Storm,500.0,129607,4:00 p.m. January 19
354,2007-01-16 02:00:00+00:00,WECC,"Snohomish County, Washington",Major Windstorm,260.0,110433,12:00 a.m. January 17
355,2007-02-13 14:00:00+00:00,RFC,Indiana and Southwest Ohio,Ice/Wind Storm,250.0,367500,12:00 a.m. February 16
356,2007-02-13 17:00:00+00:00,RFC,Central Maryland,Winter Storm,400.0,155183,5:30 a.m. February 17
357,2007-02-24 16:00:00+00:00,MRO,"NE quarter of State of Iowa and Rock Island, Illinois",Ice Storm,210.0,75000,12:57 a.m. March 04
358,2007-02-24 18:00:00+00:00,MRO,Central Iowa and Cedar Rapids areas,Ice Storm,400.0,140000,11:47 p.m. February 24
359,2007-02-24 19:23:00+00:00,RFC,"Cedar Rapids, Iowa",Ice Storm,750.0,215000,12:47 a.m. February 25
360,2007-02-28 00:45:00+00:00,WECC,Northern California,Winter Storm,110.0,671189,8:45 p.m. March 02
361,2007-03-01 21:40:00+00:00,SERC,"Parts of Alabama, Mississippi, Georgia, Florida",Major Storm,95.0,25445,11:30 p.m. March 02
362,2007-03-31 07:30:00+00:00,ERCOT,"Houston, Texas",Severe Thunderstorms,179.0,67000,7:00 p.m. March 31
363,2007-04-05 21:20:00+00:00,NPCC,Southern and Coastal Maine,Heavy Snow Storm,0.0,117142,1:10 p.m. April 06
364,2007-04-12 00:32:00+00:00,WECC,"City of Los Angeles, California",High Winds,200.0,158977,9:02 p.m. April 12
365,2007-04-12 09:09:00+00:00,WECC,"San Francisco Bay Area, California",Trip of a Unit,130.0,0,11:23 a.m. April 12
366,2007-04-14 09:00:00+00:00,NPCC,"Massachusetts, New Hampshire, Rhode Island",High Winds,65.0,70000,11:00 a.m. April 14
367,2007-04-16 08:00:00+00:00,NPCC,New Hampshire,Severe Thunderstorms,0.0,102568,7:00 p.m. April 16
368,2007-04-16 10:14:00+00:00,NPCC,Southern and Coastal Maine,Heavy Snow Storm,0.0,127545,10:18 p.m. April 18
369,2007-04-16 11:00:00+00:00,SERC,North and South Carolina,HIgh Winds,0.0,33000,7:00 p.m. April 16
370,2007-04-16 14:00:00+00:00,RFC,Central Maryland - Baltimore City and surrounding Counties,Severe Thunderstorms,160.0,138000,5:00 p.m. April 18
371,2007-04-16 14:04:00+00:00,SERC,"North, East and Central Virginia/Parts of Northeast North Carolina",High Winds,90.0,242000,7:03 p.m. April 16
372,2007-05-02 13:30:00+00:00,ERCOT,"North Texas, Dallas Fort Worth Metroplex and Surrounding Counties, South to Waco and North to Red River",Severe Storms,0.0,300000,8:00 p.m. May 03
373,2007-05-10 09:57:00+00:00,WECC,"San Francisco Bay Area, California",Unit Tripped,150.0,0,1:47 p.m. May 10
374,2007-05-14 11:15:00+00:00,WECC,"San Francisco Bay Area, California",Unit Tripped,150.0,0,1:50 p.m. May 14
375,2007-05-15 15:00:00+00:00,RFC,Southeastern Michigan,Severe Thunderstorms,500.0,66000,7:00 a.m. May 17
376,2007-05-16 18:00:00+00:00,NPCC,All of Connecticut,Severe Storm,0.0,67000,5:00 a.m. May 19
377,2007-05-21 13:48:00+00:00,WECC,"San Franscisco Bay Area, California",Unit Tripped,140.0,0,4:50 p.m. May 21
378,2007-06-01 13:00:00+00:00,WECC,Restricted Hydroelectric Capability,Fuel Supply Deficiency,0.0,0,Ongoing
379,2007-06-05 10:56:00+00:00,WECC,Southwest Idaho and Eastern Oregon,Load Shedding,424.0,80000,11:51 a.m. June 05
380,2007-06-27 15:41:00+00:00,NPCC,"Northern Manhattan NY (Yorkville) and SW Bronx (Motthaven, Melrose, High Bridge Sections)",Lightning,460.0,137000,4:30 p.m. June 27
381,2007-06-27 15:42:00+00:00,NPCC,New York State,Loss of Load,460.0,0,4:30 p.m. June 27
382,2007-06-29 09:23:00+00:00,WECC,Metropolitan Phoenix Area,Loss of Load,399.0,98700,10:09 a.m. June 29
383,2007-07-03 10:59:00+00:00,WECC,CAISO Controlled Grid,Public Appeal,0.0,0,6:00 p.m. July 05
384,2007-07-05 19:00:00+00:00,RFC,Southeastern Michigan,Severe Storm,0.0,69000,7:00 a.m. July 08
385,2007-07-06 17:18:00+00:00,WECC,Southeast Idaho and Eastern Oregon,Electrical Separation/Load Shedding/Made Public Appeal,60.0,0,6:20 p.m. July 06
386,2007-07-10 11:00:00+00:00,NPCC,Eastern New York,Major Storms,650.0,300000,6:00 a.m. July 12
387,2007-07-16 16:17:00+00:00,WECC,"St. George, Utah",Fire/Load Shedding,306.0,0,9:00 p.m. July 16
388,2007-07-18 18:00:00+00:00,RFC,Northern Counties of Illinois,Severe Weather,300.0,135000,2:00 a.m. July 19
389,2007-07-19 15:00:00+00:00,RFC,Southwestern Region of Service Territory,Major Storm,0.0,60000,11:30 p.m. July 22
390,2007-07-19 15:50:00+00:00,SERC,"North, East and Central Virginia",Major Storms,72.0,107000,10:15 p.m. July 19
391,2007-08-08 13:00:00+00:00,SERC,Portions of North Carolina and South Carolina,Made Public Appeal,0.0,0,9:00 p.m. August 08
392,2007-08-08 15:56:00+00:00,RFC,Mid-Altantic Region of PJM,Voltage Reduction/Made Public Appeal,0.0,0,5:59 p.m. August 08
393,2007-08-09 12:45:00+00:00,SERC,Portions of North Carolina and South Carolina,Made Public Appeal,0.0,0,9:00 p.m. August 09
394,2007-08-09 14:53:00+00:00,RFC,"Highland Area of Pittsburgh, Pennsylvania",Severe Thunderstorms,90.0,55000,4:11 p.m. August 09
395,2007-08-10 12:20:00+00:00,SERC,Portions of North Carolina and South Carolina,Made Public Appeal,0.0,0,9:00 p.m. August 10
396,2007-08-13 01:30:00+00:00,SERC,State of Missouri,Severe Thunderstorm,0.0,63000,12:00 a.m. August 14
397,2007-08-14 14:00:00+00:00,SPP,"CSWS Control Area of Southwest Power Pool Parts of Oklahoma, Texas, Louisiana, Arkansas",Declared Energy Emergency Alert2/Heat Wave,20.0,0,6:00 p.m. August 14
398,2007-08-16 21:30:00+00:00,SERC,Virginia and Eastern North Carolina - Primarily in Central Virginia,Severe Weather,200.0,93300,10:49 p.m. August 17
399,2007-08-19 23:34:00+00:00,SERC,Central and Eastern Virginia,Severe Thunderstorms,100.0,58500,1:10 a.m. August 20
400,2007-08-23 16:00:00+00:00,RFC,Northern Illinois,Severe Storms,0.0,629590,10:49 p.m. August 28
401,2007-08-24 18:00:00+00:00,RFC,Southeastern Michigan,Severe Storm,0.0,75000,6:30 a.m. August 28
402,2007-08-29 13:53:00+00:00,WECC,Modesto California and the Surrounding Areas,Shed Load,180.0,26000,2:57 p.m. August 29
403,2007-08-29 16:00:00+00:00,WECC,CAISO Controlled Grid,Made Public Appeal,0.0,0,6:00 p.m. August 30
404,2007-08-31 12:45:00+00:00,WECC,CAISO Controlled Grid,Declared Energy Emergency Alert 1/Heat wave,0.0,0,8:00 p.m. August 31
405,2007-09-03 12:30:00+00:00,WECC,"San Diego County, Southern Orange County, California",High Temperatures/Made Public Appeals,0.0,0,5:30 p.m. September 03
406,2007-09-04 08:30:00+00:00,WECC,"San Diego County, Southern Orange County, California",High Temperatures/Made Public Appeals,0.0,0,3:30 p.m. September 04
407,2007-09-05 07:53:00+00:00,ERCOT,"Central Texas, ERCOT Grid",Severe Weather/Transmission Fault-Units Tripped,1084.0,0,1:11 p.m. September 05
408,2007-09-06 20:00:00+00:00,WECC,Hydro Electric System,Fuel Supply Deficiency,0.0,0,Ongoing
409,2007-09-13 04:00:00+00:00,SPP,"Between Galveston and Beaumont, Texas",Hurricane Humberto,0.0,118000,7:00 a.m. September 14
410,2007-09-17 19:01:00+00:00,RFC,"City of Crawfordsville, Indiana",Electrical System Separation,50.0,9600,7:48 p.m. September 17
411,2007-09-18 05:14:00+00:00,MRO,"Minnesota, Wisconsin, North Dakota, South Dakota and Michigan",Electrical System Separation/Load Shedding/ Implemented Emergency Alert/Severe Storms,16.0,6000,6:10 a.m. September 18
412,2007-09-18 05:15:00+00:00,MRO,"Minnesota, North Dakota, Manitoba",Electrical System Separation/Load Shedding/ Implemented Emergency Alert/Severe Storms,8000.0,0,6:30 a.m. September 18
413,2007-09-18 05:15:00+00:00,RFC,"Manitoba, Minnesota, North Dakota, Portions of South Dakota and Wisconsin.  Midwest ISO's Market subregions: OTP, NSP, GRE, ALTW, MP",Electrical System Separation/Load Shedding/ Implemented Emergency Alert/ Severe Storms,8000.0,11175,12:00 a.m. September 18
414,2007-09-24 13:38:00+00:00,RFC,Southwest Michigan,Unit Tripped,320.0,0,4:26 p.m. September 24
415,2007-10-18 15:00:00+00:00,WECC,Western Washington,High Winds,0.0,160000,11:36 a.m. October 22
416,2007-10-22 14:01:00+00:00,WECC,Southern California,Brush Fire/Load Shedding/Implemented Emergency Alert,451.0,90323,2:22 p.m. October 22
417,2007-10-22 14:05:00+00:00,WECC,Southern California,Brush Fire/Load Shedding,700.0,300000,2:22 p.m. October 22
418,2007-10-22 14:06:00+00:00,WECC,"San Diego County, California",Brush Fire/Load Shedding,199.0,68780,2:43 p.m. October 22
419,2007-10-26 06:44:00+00:00,WECC,Southern Califonia,Brush Fire/Load Shedding,280.0,20345,10:46 a.m. October 26
420,2007-10-26 06:44:00+00:00,WECC,"Riverside, California",Load Shedding,240.0,104000,10:43 a.m. October 26
421,2007-11-03 18:00:00+00:00,NPCC,"Eastern Massachusetts, Rhode Island, Cape Cod",Tropical Storm,100.0,62843,6:00 a.m. November 04
422,2007-12-01 18:04:00+00:00,NPCC,State of Maine,Voltage Reduction/Made Public Appeal/Fuel Deficiency,0.0,0,10:00 p.m. December 02
423,2007-12-04 14:16:00+00:00,PR,Island of Puerto Rico,Voltage Reduction,0.0,0,5:53 p.m. December 04
424,2007-12-10 03:08:00+00:00,SPP,"Tulsa, Oklahoma",Ice Storm,0.0,256663,8:00 a.m. December 19
