,datetime_event_began,NERC_region,area_affected,event_type,demand_loss_(MW),number_of_customers_affected,datetime_of_restoration
102,2004-04-12 05:30:00+00:00,FRCC,FPL's service territory mostly in Naples and Ft. Myers Florida,Storm with High Winds,250.0,179000,"4/12/04, 10:15 a.m."
103,2004-04-27 12:35:00+00:00,WECC,Snohomish County Washington,Strong Winds,300.0,187000,"4/30/04, 12:00 p.m."
104,2004-05-03 14:30:00+00:00,WECC,Central and Southern California,Heat Storm,662.0,0,"5/03/04, 7:00 p.m."
105,2004-05-11 15:30:00+00:00,ERCOT,"Houston, Texas and surrounding suburban areas",Strong Thunderstorms,85.0,0,"5/11/04, 6:00 p.m."
106,2004-05-21 02:00:00+00:00,ECAR,Akron and Youngstown areas,Severe Thunderstorms,525.0,281000,"5/24/04, 12:00 a.m."
107,2004-05-21 02:00:00+00:00,ECAR,Cleveland area,Severe Thunderstorms,177.0,127000,"5/24/04, 12:00 a.m."
108,2004-05-21 05:30:00+00:00,MAAC,"Western Pennsylvania, Northern West Virginia, Western Maryland, Northern Virginia",High Winds and Heavy Rains,60.0,0,"5/25/04, 12:00 a.m."
109,2004-05-21 11:00:00+00:00,ECAR,"Northern and Southern Michigan, AEP Fort Wayne/Michigan Region, Buchanan, Elkhart, New Buffalo, South Bend, St. Joseph, Three Rivers areas",Severe Thunderstorms,303.0,122600,"5/26/04, 9:00 p.m."
110,2004-05-21 13:00:00+00:00,ECAR,"Lower peninsula of Michigan following cities:  Grand Rapids, Kalamazoo, Battle Creek, Jackson, Bronson, Jonesville, Flint",Severe Thunderstorms,200.0,248209,"5/25/04, 12:00 p.m."
111,2004-05-21 16:00:00+00:00,ECAR,Southeast Michigan,Severe Thunderstorms,630.0,0,"5/24/04, 8:00 p.m."
112,2004-05-28 12:00:00+00:00,FRCC,"Florida counties of Gadsden, Wakulla, Leon, and Liberty",Public Appeals,0.0,0,"5/31/04, 12:00 a.m."
113,2004-05-28 12:00:00+00:00,FRCC,"Florida counties of Gadsden, Wakulla, Leon, and Liberty",Public Appeals,0.0,0,"5/31/04, 12:00 a.m."
114,2004-05-28 12:00:00+00:00,FRCC,"Florida counties of Gadsden, Wakulla, Leon, and Liberty",Public Appeals ,0.0,0,"5/31/04, 12:00 a.m."
115,2004-06-01 17:00:00+00:00,ERCOT,"Collin, Dallas, Denton, Ellis, Parker, and Tarrant Counties, Texas ",Severe Storms with Strong Winds,1900.0,500000,"6/02/04, 1:00 a.m."
116,2004-06-02 01:46:00+00:00,ECAR,"Shreveport, Louisiana",Severe  Thunderstorms with Strong Winds,350.0,59057,"6/07/04, 4:00 p.m."
117,2004-06-02 02:35:00+00:00,ECAR,"Tulsa, Oklahoma",Severe Thunderstorms with Strong Winds,280.0,56874,"6/06/04, 6:00 p.m."
118,2004-06-12 17:37:00+00:00,MAPP,"Lincoln, Nebraska",Tornado,428.0,120212,"6/12/04, 5:41 p.m."
119,2004-06-14 07:41:00+00:00,WECC,"Phoenix, Arizona",Fault on Line,200.0,30000,"6/14/04, 2:39 p.m."
120,2004-06-23 17:35:00+00:00,WECC,Southern Idaho,Load Shedding,157.0,35000,"6/23/04, 7:10 p.m."
121,2004-06-23 19:00:00+00:00,SERC,Georgia and Alabama,Thunderstorms,50.0,50595,"6/23/04, 8:00 p.m."
122,2004-07-06 06:00:00+00:00,WECC,"Metro Phoenix, Arizona",Fire/Substation Multiple Public Appeals,0.0,0,"8/09/04, 12:00 p.m."
123,2004-07-06 06:00:00+00:00,WECC,"Metro Phoenix, Arizona",Fire/Substation Multiple Public Appeals,0.0,0,"8/09/04, 12:00 p.m."
124,2004-07-07 13:30:00+00:00,SERC,Central Virginia,Severe Thunderstorms,120.0,88110,"7/07/04, 11:54 p.m."
125,2004-07-13 13:34:00+00:00,FRCC,"Leon  County, Florida",Units Tripped,283.0,42124,"7/13/04, 5:15 p.m."
126,2004-07-13 16:30:00+00:00,ECAR,"West, West Central and Southern Indiana",Severe Thunderstorms,600.0,135000,"7/17/04, 8:00 a. m. "
127,2004-07-20 14:26:00+00:00,WECC,"Soledad Canyon near Acton, California",Wildfire/Shed Interruptible Load,214.0,0,"7/21/04, 2:00 a.m."
128,2004-07-20 15:44:00+00:00,PR,"Regions of  San Juan, Caguas, Ponce, Bayamon, Carolina, Arecibo and Mayaguez",Wildfire,200.0,61624,"7/20/04, 5:51 p.m."
129,2004-07-21 17:30:00+00:00,MAIN,"Chicago, Illinois",Severe Thunderstorms,200.0,200000,"7/22/04, 7:00 p.m."
130,2004-07-24 15:45:00+00:00,SPP,Southwest Louisiana in the Acadia Parish vicinity,Public Appeal  ,0.0,0,"7/25/2004, 9:00 p.m."
131,2004-07-25 22:00:00+00:00,SERC,"Georgia, Alabama, Florida panhandle, Southern Mississippi",Severe Storms,61.0,61004,"7/25/04, 11:00 p.m."
132,2004-08-02 10:00:00+00:00,SPP,Southeast Texas,Unplanned Generator Outage/High Loads Made Public Appeal,0.0,0,"8/02/04, 8:00 p.m."
133,2004-08-03 21:00:00+00:00,MAIN,Northern Illinois,Severe Storm,127.0,127000,"8/04/04, 7:00 a.m."
134,2004-08-04 12:46:00+00:00,WECC,"Northwest Orange County, California",Fault at Barre Substation,480.0,182000,"8/04/04, 1:50 p.m."
