,datetime_event_began,NERC_region,area_affected,event_type,demand_loss_(MW),number_of_customers_affected,datetime_of_restoration,datetime_of_restoration_cleaned,datetime_event_began_cleaned
285,2006-04-29 14:55:00,PR,Island of Puerto Rico,Lightning Storm,237,164105,3:45 PMApril 292006,2006-04-29 15:45:00,2006-04-29 14:55:00
286,2006-05-03 15:30:00,WECC,City of Bakersfield area,Transmission Equipment Failure/Fire,300,55655,9:35 PMMay 032006,2006-05-03 21:35:00,2006-05-03 15:30:00
287,2006-05-04 14:12:00,PR,Island of Puerto Rico,Load Shed,140,94639,2:45 PMMay 042006,2006-05-04 14:45:00,2006-05-04 14:12:00
288,2006-05-19 15:13:00,WECC,"San Francisco Bay area, California",Lightning Strike,133,0,10:30 PMMay 192006,2006-05-19 22:30:00,2006-05-19 15:13:00
289,2006-05-25 19:50:00,RFC,"Southwest Ohio, Northern Kentucky, Central Indiana",Severe Weather,800,210000,9:00 AMMay 272006,2006-05-27 09:00:00,2006-05-25 19:50:00
290,2006-06-01 14:12:00,HECO,Island of Oahu,Load Shed,120,29300,6:09 PMJune 012006,2006-06-01 18:09:00,2006-06-01 14:12:00
291,2006-06-01 18:00:00,RFC,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",Severe Weather,,111555,9:00 AMJune 032006,2006-06-03 09:00:00,2006-06-01 18:00:00
292,2006-06-01 18:30:00,RFC,Central Maryland,Severe Thunderstorms,335,70000,2:00 PMJune 032006,2006-06-03 14:00:00,2006-06-01 18:30:00
293,2006-06-11 18:00:00,SERC,"Charlotte, North Carolina Metropolitan area",Severe Thunderstorm,70,72000,9:00 PMJune 112006,2006-06-11 21:00:00,2006-06-11 18:00:00
294,2006-06-22 14:00:00,RFC,Ohio and Indiana,Severe Thunderstorms,750,195000,11:00 PMJune 272006,2006-06-27 23:00:00,2006-06-22 14:00:00
295,2006-07-02 18:39:00,RFC,Northern Virginia,Severe Thunderstorms,300,75000,12:31 AMJuly 032006,2006-07-03 00:31:00,2006-07-02 18:39:00
296,2006-07-04 17:30:00,SERC,Northern Virginia,Severe Thunderstorms,335,67000,8:18 PMJuly 042006,2006-07-04 20:18:00,2006-07-04 17:30:00
297,2006-07-16 14:00:00,RFC,Middle 1/3 of Michigan Lower Peninsula,Severe Lightning Storms,150,315000,12:00 AMJuly 212006,2006-07-21 00:00:00,2006-07-16 14:00:00
298,2006-07-17 18:50:00,NPCC,"Northwest Queens, New York City",Severe Weather/Public Appeals Made/Voltage Reduction,,25000,3:06 AMJuly 252006,2006-07-25 03:06:00,2006-07-17 18:50:00
299,2006-07-17 21:00:00,RFC,Northern Counties of Illinois,Severe Lightning Storms,,170519,9:00 AMJuly 182006,2006-07-18 09:00:00,2006-07-17 21:00:00
300,2006-07-18 18:36:00,RFC,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",Severe Lightning Storms,,492955,11:59 PMJuly 232006,2006-07-23 23:59:00,2006-07-18 18:36:00
301,2006-07-18 20:07:00,NPCC,"Norwalk, Stamford, Connecticut",Lightning Storms/Tripped Lines,0,0,10:32 PMJuly 182006,2006-07-18 22:32:00,2006-07-18 20:07:00
302,2006-07-19 11:00:00,SERC,"Greater Little Rock, Arkansas",Load Reduction/Public Appeals Made,40,8000,5:54 PMJuly 192006,2006-07-19 17:54:00,2006-07-19 11:00:00
303,2006-07-19 18:00:00,MRO,Greater St. Louis Metropolitan area (Missouri and Illinois),Severe Storms (3) (Many customers experienced multiple outages.),1500,0,8:00 AMJuly 312006,2006-07-31 08:00:00,2006-07-19 18:00:00
304,2006-07-22 13:09:00,WECC,California,Widespread Heat Wave/Public Appeals Made,200,1271893,4:00 PMJuly 272006,2006-07-27 16:00:00,2006-07-22 13:09:00
305,2006-07-24 14:33:00,WECC,California,Widespread Heat Wave/CAISO Implementation of Stage 2 Electrical Emergency Plan,414,0,5:33 PMJuly 242006,2006-07-24 17:33:00,2006-07-24 14:33:00
306,2006-07-24 14:33:00,WECC,California,Widespread Heat Wave/CAISO  Implementation of Stage 2 Electrical Emergency Plan,695,0,5:33 PMJuly 242006,2006-07-24 17:33:00,2006-07-24 14:33:00
307,2006-07-27 18:38:00,RFC,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",Severe Thunderstorms,,167564,9:36 PMJuly 292006,2006-07-29 21:36:00,2006-07-27 18:38:00
308,2006-08-01 12:00:00,RFC,Northern Ohio,Made Public Appeals/Heat Wave,,0,7:00 PMAugust 012006,2006-08-01 19:00:00,2006-08-01 12:00:00
309,2006-08-01 13:00:00,RFC,"Ohio, Indiana, Kentucky",Made Public Appeals,90,0,8:30 PMAugust 012006,2006-08-01 20:30:00,2006-08-01 13:00:00
310,2006-08-02 12:00:00,MRO,"Midwest ISO's Market Sub-regions:  AMRN, CIN, CILC, CWLD, CWLP, FE, HE, IP, IPL, LGEE, MECS, NIPS, SIGE, SIPC",Declared Energy Emergency Alert 2/Heat Wave,,0,4:45 PMAugust 022006,2006-08-02 16:45:00,2006-08-02 12:00:00
311,2006-08-02 13:00:00,NPCC,New England,System Wide Voltage Reduction,,0,4:35 PMAugust 022006,2006-08-02 16:35:00,2006-08-02 13:00:00
312,2006-08-02 19:00:00,NPCC,New England,Severe Thunderstorms,100,77000,1:00 AMAugust 032006,2006-08-03 01:00:00,2006-08-02 19:00:00
313,2006-08-03 14:16:00,PR,Island of Puerto Rico,Shed Firm Load,369,227480,2:46 PMAugust 032006,2006-08-03 14:46:00,2006-08-03 14:16:00
314,2006-08-07 13:00:00,RFC,"Tulsa, Oklahoma",Made Public Appeals,75,0,6:00 PMAugust 072006,2006-08-07 18:00:00,2006-08-07 13:00:00
315,2006-08-10 20:00:00,WECC,Southwest Idaho and Eastern Oregon,Severe Thunderstorm,80,65000,12:00 PMAugust 122006,2006-08-12 12:00:00,2006-08-10 20:00:00
316,2006-08-24 21:58:00,PR,Island of Puerto Rico,Shed Firm Load/Reduced Voltage,180,106000,11:25 PMAugust 242006,2006-08-24 23:25:00,2006-08-24 21:58:00
317,2006-09-01 05:30:00,SERC,Eastern North Carolina,Tropical Storm Ernesto,,61000,10:00 AMSeptember 012006,2006-09-01 10:00:00,2006-09-01 05:30:00
318,2006-09-01 06:41:00,SERC,Virginia and North Carolina,Tropical Storm Ernesto,500,333000,3:25 PMSeptember 032006,2006-09-03 15:25:00,2006-09-01 06:41:00
319,2006-09-01 10:00:00,RFC,Southern Delmarva Peninsula,Tropical Storm Ernesto,380,105000,2:00 PMSeptember 042006,2006-09-04 14:00:00,2006-09-01 10:00:00
320,2006-09-01 15:00:00,RFC,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",Tropical Storm Ernesto,,146094,11:00 PMSeptember 042006,2006-09-04 23:00:00,2006-09-01 15:00:00
321,2006-09-01 20:00:00,RFC,Southern New Jersey Counties,Tropical Storm Ernesto,400,100000,5:00 PMSeptember 042006,2006-09-04 17:00:00,2006-09-01 20:00:00
322,2006-09-14 08:56:00,PR,Island of Puerto Rico,Shed Firm Load/ Reduced Voltage,59,34716,9:08 AMSeptember 142006,2006-09-14 09:08:00,2006-09-14 08:56:00
323,2006-09-28 20:08:00,SERC,"North, Central and Eastern Virginia and Northern North Carolina",Severe Thunderstorms,84,56500,10:10 PMSeptember 282006,2006-09-28 22:10:00,2006-09-28 20:08:00
324,2006-10-02 14:00:00,RFC,"Chicago Metro, Northeast Illinois",Severe Thunderstorms,,471932,6:00 PMOctober 032006,2006-10-03 18:00:00,2006-10-02 14:00:00
325,2006-10-02 15:05:00,WECC,"Newhall, San Frenando, Saugus, and Santa Clarita, California",Shed Firm Load,308,130000,8:39 PMOctober 022006,2006-10-02 20:39:00,2006-10-02 15:05:00
326,2006-10-03 17:28:00,ERCOT,"Grimes, Robertson, Fort Bend, Brazos, Burleson and Walker Counties",Shed Firm Load,339,0,9:59 PMOctober 032006,2006-10-03 21:59:00,2006-10-03 17:28:00
327,2006-10-12 17:48:00,NPCC,Western New York State,Snow Storm,600,250000,12:00 AMOctober 232006,2006-10-23 00:00:00,2006-10-12 17:48:00
328,2006-10-12 20:00:00,NPCC,Western New York State,Snow Storm,353,120000,11:00 PMOctober 212006,2006-10-21 23:00:00,2006-10-12 20:00:00
329,2006-10-15 07:09:00,Other,Island of Maui,Earthquakes,110,59886,4:12 PMOctober 152006,2006-10-15 16:12:00,2006-10-15 07:09:00
330,2006-10-15 07:09:00,HECO,Island of Oahu,Earthquakes,1170,291000,2:55 PMOctober 162006,2006-10-16 14:55:00,2006-10-15 07:09:00
331,2006-10-20 13:00:00,RFC,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",High Winds,,90000,5:00 PMOctober 222006,2006-10-22 17:00:00,2006-10-20 13:00:00
332,2006-10-26 05:30:00,MRO,"Metro Denver and Boulder, Colorado",Wet Snow/Winds,,65000,5:10 PMOctober 272006,2006-10-27 17:10:00,2006-10-26 05:30:00
333,2006-11-15 10:00:00,ERCOT,System-wide greater Houston area,High Winds,221,83000,8:00 PMNovember 152006,2006-11-15 20:00:00,2006-11-15 10:00:00
334,2006-11-15 13:00:00,WECC,"Whatcom and Skagit Counties, Washington",High Winds,50,50000,2:35 AMNovember 192006,2006-11-19 02:35:00,2006-11-15 13:00:00
335,2006-11-15 15:00:00,SERC,Georgia,Severe Weather,363,109000,5:00 PMNovember 152006,2006-11-15 17:00:00,2006-11-15 15:00:00
336,2006-11-26 13:00:00,WECC,"Snohomish County, Washington",Wind/Snow Storm,180,63992,6:00 PMDecember 022006,2006-12-02 18:00:00,2006-11-26 13:00:00
337,2006-11-30 21:00:00,MRO,Missouri and Illinois,Ice Storm,,550000,6:00 PMDecember 092006,2006-12-09 18:00:00,2006-11-30 21:00:00
338,2006-12-01 18:20:00,RFC,Ohio,Wind Storm,,59106,6:00 AMDecember 022006,2006-12-02 06:00:00,2006-12-01 18:20:00
339,2006-12-10 19:35:00,WECC,"San Francisco Bay area, California",Unit Tripped,220,0,10:14 PMDecember 102006,2006-12-10 22:14:00,2006-12-10 19:35:00
340,2006-12-13 04:30:00,WECC,Western Washington,Wind Storm,,700000,11:59 PMDecember 282006,2006-12-28 23:59:00,2006-12-13 04:30:00
341,2006-12-14 00:01:00,WECC,"City of Seattle, Washington",Wind Storm,750,175000,8:00 AMDecember 152006,2006-12-15 08:00:00,2006-12-14 00:01:00
342,2006-12-14 05:30:00,WECC,"Snohomish County, Washington",Wind Storm,360,172060,10:00 PMDecember 202006,2006-12-20 22:00:00,2006-12-14 05:30:00
343,2006-12-14 09:44:00,WECC,"Oregon, Washington, Idaho, Montana",Wind Storm,258,24,2:34 PMDecember 312006,2006-12-31 14:34:00,2006-12-14 09:44:00
344,2006-12-14 12:07:00,WECC,State of Oregon Coastal area,HIgh Winds,,0,12:00 PMDecember 172006,2006-12-17 12:00:00,2006-12-14 12:07:00
345,2006-12-14 17:00:00,WECC,"Greater Tacoma area (City of Fircrest, University Place, City of Lakeland) and portions of South Pierce County in State of Washington",High Winds,280,75000,4:00 PMDecember 162006,2006-12-16 16:00:00,2006-12-14 17:00:00
346,2006-12-14 19:00:00,WECC,"Oregon Counties: Multnomah, Clackamas, Washington, Marion",High Winds,,249500,8:00 PMDecember 172006,2006-12-17 20:00:00,2006-12-14 19:00:00
347,2006-12-16 19:30:00,WECC,"Oregon Counties:  Washington, Yamhill",Transmission Equipment/Fire,350,84500,1:00 AMDecember 172006,2006-12-17 01:00:00,2006-12-16 19:30:00
348,2006-12-26 00:01:00,WECC,Northern California,Severe Weather,420,850068,9:13 AMDecember 312006,2006-12-31 09:13:00,2006-12-26 00:01:00
349,2006-12-29 16:25:00,PR,North Part of the Island,Main Power Transformer Failure/Voltage Reduction/Fire,50,18386,6:59 PMDecember 312006,2006-12-31 18:59:00,2006-12-29 16:25:00
350,2006-12-30 22:25:00,MRO,"Gosper, Harlan, Franklin, Webster, Clay, Adams, Kearney, Phelps, Dawson, Buffalo, Hall, Hamilton, Sherman, Custer, Valley, Greeley, Howard, Merrick, York, Fillmore, Nance, Boone, Wheeler, Madison, Antelope, Pierce, Platte and Seward Counties in Central Nebraska",Severe Weather,300,15000,2:25 PMJanuary 062006,2006-01-06 14:25:00,2006-12-30 22:25:00
351,2007-01-05 10:44:00,PR,Island of Puerto Rico,Voltage Reduction,0,0,11:13 AMJanuary 052007,2007-01-05 11:13:00,2007-01-05 10:44:00
352,2007-01-13 05:00:00,MRO,Missouri and Illinois,Ice Storm,,225000,12:00 PMJanuary 192007,2007-01-19 12:00:00,2007-01-13 05:00:00
353,2007-01-13 07:30:00,RFC,Eastern and Lower Michigan,Ice Storm,500,129607,4:00 PMJanuary 192007,2007-01-19 16:00:00,2007-01-13 07:30:00
354,2007-01-16 02:00:00,WECC,"Snohomish County, Washington",Major Windstorm,260,110433,12:00 AMJanuary 172007,2007-01-17 00:00:00,2007-01-16 02:00:00
355,2007-02-13 14:00:00,RFC,Indiana and Southwest Ohio,Ice/Wind Storm,250,367500,12:00 AMFebruary 162007,2007-02-16 00:00:00,2007-02-13 14:00:00
356,2007-02-13 17:00:00,RFC,Central Maryland,Winter Storm,400,155183,5:30 AMFebruary 172007,2007-02-17 05:30:00,2007-02-13 17:00:00
357,2007-02-24 16:00:00,MRO,"NE quarter of State of Iowa and Rock Island, Illinois",Ice Storm,210,75000,12:57 AMMarch 042007,2007-03-04 00:57:00,2007-02-24 16:00:00
358,2007-02-24 18:00:00,MRO,Central Iowa and Cedar Rapids areas,Ice Storm,400,140000,11:47 PMFebruary 242007,2007-02-24 23:47:00,2007-02-24 18:00:00
359,2007-02-24 19:23:00,RFC,"Cedar Rapids, Iowa",Ice Storm,750,215000,12:47 AMFebruary 252007,2007-02-25 00:47:00,2007-02-24 19:23:00
360,2007-02-28 00:45:00,WECC,Northern California,Winter Storm,110,671189,8:45 PMMarch 022007,2007-03-02 20:45:00,2007-02-28 00:45:00
361,2007-03-01 21:40:00,SERC,"Parts of Alabama, Mississippi, Georgia, Florida",Major Storm,95,25445,11:30 PMMarch 022007,2007-03-02 23:30:00,2007-03-01 21:40:00
362,2007-03-31 07:30:00,ERCOT,"Houston, Texas",Severe Thunderstorms,179,67000,7:00 PMMarch 312007,2007-03-31 19:00:00,2007-03-31 07:30:00
363,2007-04-05 21:20:00,NPCC,Southern and Coastal Maine,Heavy Snow Storm,0,117142,1:10 PMApril 062007,2007-04-06 13:10:00,2007-04-05 21:20:00
364,2007-04-12 00:32:00,WECC,"City of Los Angeles, California",High Winds,200,158977,9:02 PMApril 122007,2007-04-12 21:02:00,2007-04-12 00:32:00
365,2007-04-12 09:09:00,WECC,"San Francisco Bay Area, California",Trip of a Unit,130,0,11:23 AMApril 122007,2007-04-12 11:23:00,2007-04-12 09:09:00
366,2007-04-14 09:00:00,NPCC,"Massachusetts, New Hampshire, Rhode Island",High Winds,65,70000,11:00 AMApril 142007,2007-04-14 11:00:00,2007-04-14 09:00:00
367,2007-04-16 08:00:00,NPCC,New Hampshire,Severe Thunderstorms,0,102568,7:00 PMApril 162007,2007-04-16 19:00:00,2007-04-16 08:00:00
368,2007-04-16 10:14:00,NPCC,Southern and Coastal Maine,Heavy Snow Storm,0,127545,10:18 PMApril 182007,2007-04-18 22:18:00,2007-04-16 10:14:00
369,2007-04-16 11:00:00,SERC,North and South Carolina,HIgh Winds,0,33000,7:00 PMApril 162007,2007-04-16 19:00:00,2007-04-16 11:00:00
370,2007-04-16 14:00:00,RFC,Central Maryland - Baltimore City and surrounding Counties,Severe Thunderstorms,160,138000,5:00 PMApril 182007,2007-04-18 17:00:00,2007-04-16 14:00:00
371,2007-04-16 14:04:00,SERC,"North, East and Central Virginia/Parts of Northeast North Carolina",High Winds,90,242000,7:03 PMApril 162007,2007-04-16 19:03:00,2007-04-16 14:04:00
372,2007-05-02 13:30:00,ERCOT,"North Texas, Dallas Fort Worth Metroplex and Surrounding Counties, South to Waco and North to Red River",Severe Storms,0,300000,8:00 PMMay 032007,2007-05-03 20:00:00,2007-05-02 13:30:00
373,2007-05-10 09:57:00,WECC,"San Francisco Bay Area, California",Unit Tripped,150,0,1:47 PMMay 102007,2007-05-10 13:47:00,2007-05-10 09:57:00
374,2007-05-14 11:15:00,WECC,"San Francisco Bay Area, California",Unit Tripped,150,0,1:50 PMMay 142007,2007-05-14 13:50:00,2007-05-14 11:15:00
375,2007-05-15 15:00:00,RFC,Southeastern Michigan,Severe Thunderstorms,500,66000,7:00 AMMay 172007,2007-05-17 07:00:00,2007-05-15 15:00:00
376,2007-05-16 18:00:00,NPCC,All of Connecticut,Severe Storm,0,67000,5:00 AMMay 192007,2007-05-19 05:00:00,2007-05-16 18:00:00
377,2007-05-21 13:48:00,WECC,"San Franscisco Bay Area, California",Unit Tripped,140,0,4:50 PMMay 212007,2007-05-21 16:50:00,2007-05-21 13:48:00
378,2007-06-01 13:00:00,WECC,Restricted Hydroelectric Capability,Fuel Supply Deficiency,0,0,Ongoing2007,,2007-06-01 13:00:00
379,2007-06-05 10:56:00,WECC,Southwest Idaho and Eastern Oregon,Load Shedding,424,80000,11:51 AMJune 052007,2007-06-05 11:51:00,2007-06-05 10:56:00
380,2007-06-27 15:41:00,NPCC,"Northern Manhattan NY (Yorkville) and SW Bronx (Motthaven, Melrose, High Bridge Sections)",Lightning,460,137000,4:30 PMJune 272007,2007-06-27 16:30:00,2007-06-27 15:41:00
381,2007-06-27 15:42:00,NPCC,New York State,Loss of Load,460,0,4:30 PMJune 272007,2007-06-27 16:30:00,2007-06-27 15:42:00
382,2007-06-29 09:23:00,WECC,Metropolitan Phoenix Area,Loss of Load,399,98700,10:09 AMJune 292007,2007-06-29 10:09:00,2007-06-29 09:23:00
383,2007-07-03 10:59:00,WECC,CAISO Controlled Grid,Public Appeal,,0,6:00 PMJuly 052007,2007-07-05 18:00:00,2007-07-03 10:59:00
384,2007-07-05 19:00:00,RFC,Southeastern Michigan,Severe Storm,0,69000,7:00 AMJuly 082007,2007-07-08 07:00:00,2007-07-05 19:00:00
385,2007-07-06 17:18:00,WECC,Southeast Idaho and Eastern Oregon,Electrical Separation/Load Shedding/Made Public Appeal,60,0,6:20 PMJuly 062007,2007-07-06 18:20:00,2007-07-06 17:18:00
386,2007-07-10 11:00:00,NPCC,Eastern New York,Major Storms,650,300000,6:00 AMJuly 122007,2007-07-12 06:00:00,2007-07-10 11:00:00
387,2007-07-16 16:17:00,WECC,"St. George, Utah",Fire/Load Shedding,306,0,9:00 PMJuly 162007,2007-07-16 21:00:00,2007-07-16 16:17:00
388,2007-07-18 18:00:00,RFC,Northern Counties of Illinois,Severe Weather,300,135000,2:00 AMJuly 192007,2007-07-19 02:00:00,2007-07-18 18:00:00
389,2007-07-19 15:00:00,RFC,Southwestern Region of Service Territory,Major Storm,0,60000,11:30 PMJuly 222007,2007-07-22 23:30:00,2007-07-19 15:00:00
390,2007-07-19 15:50:00,SERC,"North, East and Central Virginia",Major Storms,72,107000,10:15 PMJuly 192007,2007-07-19 22:15:00,2007-07-19 15:50:00
391,2007-08-08 13:00:00,SERC,Portions of North Carolina and South Carolina,Made Public Appeal,,0,9:00 PMAugust 082007,2007-08-08 21:00:00,2007-08-08 13:00:00
392,2007-08-08 15:56:00,RFC,Mid-Altantic Region of PJM,Voltage Reduction/Made Public Appeal,,0,5:59 PMAugust 082007,2007-08-08 17:59:00,2007-08-08 15:56:00
393,2007-08-09 12:45:00,SERC,Portions of North Carolina and South Carolina,Made Public Appeal,,0,9:00 PMAugust 092007,2007-08-09 21:00:00,2007-08-09 12:45:00
394,2007-08-09 14:53:00,RFC,"Highland Area of Pittsburgh, Pennsylvania",Severe Thunderstorms,90,55000,4:11 PMAugust 092007,2007-08-09 16:11:00,2007-08-09 14:53:00
395,2007-08-10 12:20:00,SERC,Portions of North Carolina and South Carolina,Made Public Appeal,,0,9:00 PMAugust 102007,2007-08-10 21:00:00,2007-08-10 12:20:00
396,2007-08-13 01:30:00,SERC,State of Missouri,Severe Thunderstorm,,63000,12:00 AMAugust 142007,2007-08-14 00:00:00,2007-08-13 01:30:00
397,2007-08-14 14:00:00,SPP,"CSWS Control Area of Southwest Power Pool Parts of Oklahoma, Texas, Louisiana, Arkansas",Declared Energy Emergency Alert2/Heat Wave,20,0,6:00 PMAugust 142007,2007-08-14 18:00:00,2007-08-14 14:00:00
398,2007-08-16 21:30:00,SERC,Virginia and Eastern North Carolina - Primarily in Central Virginia,Severe Weather,200,93300,10:49 PMAugust 172007,2007-08-17 22:49:00,2007-08-16 21:30:00
399,2007-08-19 23:34:00,SERC,Central and Eastern Virginia,Severe Thunderstorms,100,58500,1:10 AMAugust 202007,2007-08-20 01:10:00,2007-08-19 23:34:00
400,2007-08-23 16:00:00,RFC,Northern Illinois,Severe Storms,,629590,10:49 PMAugust 282007,2007-08-28 22:49:00,2007-08-23 16:00:00
401,2007-08-24 18:00:00,RFC,Southeastern Michigan,Severe Storm,,75000,6:30 AMAugust 282007,2007-08-28 06:30:00,2007-08-24 18:00:00
402,2007-08-29 13:53:00,WECC,Modesto California and the Surrounding Areas,Shed Load,180,26000,2:57 PMAugust 292007,2007-08-29 14:57:00,2007-08-29 13:53:00
403,2007-08-29 16:00:00,WECC,CAISO Controlled Grid,Made Public Appeal,,0,6:00 PMAugust 302007,2007-08-30 18:00:00,2007-08-29 16:00:00
404,2007-08-31 12:45:00,WECC,CAISO Controlled Grid,Declared Energy Emergency Alert 1/Heat wave,,0,8:00 PMAugust 312007,2007-08-31 20:00:00,2007-08-31 12:45:00
405,2007-09-03 12:30:00,WECC,"San Diego County, Southern Orange County, California",High Temperatures/Made Public Appeals,,0,5:30 PMSeptember 032007,2007-09-03 17:30:00,2007-09-03 12:30:00
406,2007-09-04 08:30:00,WECC,"San Diego County, Southern Orange County, California",High Temperatures/Made Public Appeals,,0,3:30 PMSeptember 042007,2007-09-04 15:30:00,2007-09-04 08:30:00
407,2007-09-05 07:53:00,ERCOT,"Central Texas, ERCOT Grid",Severe Weather/Transmission Fault-Units Tripped,1084,0,1:11 PMSeptember 052007,2007-09-05 13:11:00,2007-09-05 07:53:00
408,2007-09-06 20:00:00,WECC,Hydro Electric System,Fuel Supply Deficiency,,0,Ongoing2007,,2007-09-06 20:00:00
409,2007-09-13 04:00:00,SPP,"Between Galveston and Beaumont, Texas",Hurricane Humberto,,118000,7:00 AMSeptember 142007,2007-09-14 07:00:00,2007-09-13 04:00:00
410,2007-09-17 19:01:00,RFC,"City of Crawfordsville, Indiana",Electrical System Separation,50,9600,7:48 PMSeptember 172007,2007-09-17 19:48:00,2007-09-17 19:01:00
411,2007-09-18 05:14:00,MRO,"Minnesota, Wisconsin, North Dakota, South Dakota and Michigan",Electrical System Separation/Load Shedding/ Implemented Emergency Alert/Severe Storms,16,6000,6:10 AMSeptember 182007,2007-09-18 06:10:00,2007-09-18 05:14:00
412,2007-09-18 05:15:00,MRO,"Minnesota, North Dakota, Manitoba",Electrical System Separation/Load Shedding/ Implemented Emergency Alert/Severe Storms,8000,0,6:30 AMSeptember 182007,2007-09-18 06:30:00,2007-09-18 05:15:00
413,2007-09-18 05:15:00,RFC,"Manitoba, Minnesota, North Dakota, Portions of South Dakota and Wisconsin.  Midwest ISO's Market subregions: OTP, NSP, GRE, ALTW, MP",Electrical System Separation/Load Shedding/ Implemented Emergency Alert/ Severe Storms,8000,11175,12:00 AMSeptember 182007,2007-09-18 00:00:00,2007-09-18 05:15:00
414,2007-09-24 13:38:00,RFC,Southwest Michigan,Unit Tripped,320,0,4:26 PMSeptember 242007,2007-09-24 16:26:00,2007-09-24 13:38:00
415,2007-10-18 15:00:00,WECC,Western Washington,High Winds,,160000,11:36 AMOctober 222007,2007-10-22 11:36:00,2007-10-18 15:00:00
416,2007-10-22 14:01:00,WECC,Southern California,Brush Fire/Load Shedding/Implemented Emergency Alert,451,90323,2:22 PMOctober 222007,2007-10-22 14:22:00,2007-10-22 14:01:00
417,2007-10-22 14:05:00,WECC,Southern California,Brush Fire/Load Shedding,700,300000,2:22 PMOctober 222007,2007-10-22 14:22:00,2007-10-22 14:05:00
418,2007-10-22 14:06:00,WECC,"San Diego County, California",Brush Fire/Load Shedding,199,68780,2:43 PMOctober 222007,2007-10-22 14:43:00,2007-10-22 14:06:00
419,2007-10-26 06:44:00,WECC,Southern Califonia,Brush Fire/Load Shedding,280,20345,10:46 AMOctober 262007,2007-10-26 10:46:00,2007-10-26 06:44:00
420,2007-10-26 06:44:00,WECC,"Riverside, California",Load Shedding,240,104000,10:43 AMOctober 262007,2007-10-26 10:43:00,2007-10-26 06:44:00
421,2007-11-03 18:00:00,NPCC,"Eastern Massachusetts, Rhode Island, Cape Cod",Tropical Storm,100,62843,6:00 AMNovember 042007,2007-11-04 06:00:00,2007-11-03 18:00:00
422,2007-12-01 18:04:00,NPCC,State of Maine,Voltage Reduction/Made Public Appeal/Fuel Deficiency,0,0,10:00 PMDecember 022007,2007-12-02 22:00:00,2007-12-01 18:04:00
423,2007-12-04 14:16:00,PR,Island of Puerto Rico,Voltage Reduction,0,0,5:53 PMDecember 042007,2007-12-04 17:53:00,2007-12-04 14:16:00
424,2007-12-10 03:08:00,SPP,"Tulsa, Oklahoma",Ice Storm,,256663,8:00 AMDecember 192007,2007-12-19 08:00:00,2007-12-10 03:08:00
425,2007-12-11 04:00:00,MRO,Eastern half of the State of Kansas,Ice Storm,500,95000,3:30 PMDecember 202007,2007-12-20 15:30:00,2007-12-11 04:00:00
426,2007-12-11 20:57:00,PR,Island of Puerto Rico,Voltage Reduction,0,0,9:22 PMDecember 112007,2007-12-11 21:22:00,2007-12-11 20:57:00
427,2007-12-23 01:00:00,RFC,The Entire ComEd Service Territory,Severe Storm,,237000,9:00 PMDecember 232007,2007-12-23 21:00:00,2007-12-23 01:00:00
428,2007-12-23 05:30:00,RFC,Lower 2/3 of Michigan Lower Peninsula,Winter Storm,50,134288,6:07 PMDecember 252007,2007-12-25 18:07:00,2007-12-23 05:30:00
429,2008-01-04 04:00:00,WECC,Northern California,Winter Storm,500,2606931,5:00 PMJanuary 142008,2008-01-14 17:00:00,2008-01-04 04:00:00
430,2008-01-04 07:47:00,WECC,Sacramento County,Severe Storm,300,150000,4:30 PMJanuary 042008,2008-01-04 16:30:00,2008-01-04 07:47:00
431,2008-01-29 05:00:00,WECC,"San Francisco Bay Area, California",Exciter Faulted,,0,12:17 PMJanuary 292008,2008-01-29 12:17:00,2008-01-29 05:00:00
432,2008-01-29 16:00:00,SERC,"Arkansas, Mississippi, North Louisiana",Severe Thunderstorms,,110000,8:00 AMFebruary 032008,2008-02-03 08:00:00,2008-01-29 16:00:00
433,2008-01-29 22:00:00,RFC,Southeastern Michigan,Wind/Ice Storm,,86915,6:30 PMFebruary 012008,2008-02-01 18:30:00,2008-01-29 22:00:00
434,2008-01-29 23:23:00,RFC,"South Metropolitan Areas of Dayton, OHio",High Winds,380,45000,12:48 AMJanuary 302008,2008-01-30 00:48:00,2008-01-29 23:23:00
435,2008-01-30 03:06:00,NPCC,"Western, New York",High Winds,50,54316,2:50 PMFebruary 012008,2008-02-01 14:50:00,2008-01-30 03:06:00
436,2008-02-01 06:00:00,WECC,"San Francisco Bay Area, California",Equipment Faulted,,0,7:49 AMFebruary 012008,2008-02-01 07:49:00,2008-02-01 06:00:00
437,2008-02-02 03:58:00,WECC,"San Francisco Bay Area, California",Equipment Faulted,,0,4:27 PMFebruary 022008,2008-02-02 16:27:00,2008-02-02 03:58:00
438,2008-02-05 22:00:00,SERC,State of Kentucky,Severe Weather,,76000,3:00 AMFebruary 062008,2008-02-06 03:00:00,2008-02-05 22:00:00
