,datetime_event_began,NERC_region,area_affected,event_type,demand_loss_(MW),number_of_customers_affected,datetime_of_restoration,datetime_of_restoration_cleaned,datetime_event_began_cleaned
39,2003-07-04 23:41:00,ECAR,"Southwest Ohio, portions of Indiana",Severe Storms,200,55142,"7/06/03, 9:00 PM",2003-07-06 21:00:00,2003-07-04 23:41:00
40,2003-07-05 03:00:00,MAIN,Northern Illinois,Severe Storms,80,130000,"7/05/03, 7:00 AM",2003-07-05 07:00:00,2003-07-05 03:00:00
41,2003-07-07 09:00:00,MAIN,Northern Illinois,Severe Thunderstorms,,72000,"7/07/03, 3:00 PM",2003-07-07 15:00:00,2003-07-07 09:00:00
42,2003-07-08 04:00:00,ECAR,Ohio,Severe Thunderstorms,11000,134500,"7/11/03, 4:00 PM",2003-07-11 16:00:00,2003-07-08 04:00:00
43,2003-07-09 17:14:00,SERC,Northern Central and Eastern Virginia,Severe Thunderstorms,120,80000,"7/09/03, 7:09 PM",2003-07-09 19:09:00,2003-07-09 17:14:00
44,2003-07-15 08:24:00,ERCOT,Texas,Hurricane Claudette,230,108000,"7/21/03, 10:30 AM",2003-07-21 10:30:00,2003-07-15 08:24:00
45,2003-07-21 17:15:00,MAAC,Pennsylvania,Severe Storms,500,185000,"7/24/03, 5:33 AM",2003-07-24 05:33:00,2003-07-21 17:15:00
46,2003-07-28 18:55:00,WECC,Arizona,Breaker Closed,440,90000,"7/28/03, 8:35 PM",2003-07-28 20:35:00,2003-07-28 18:55:00
47,2003-08-14 15:00:00,ECAR,Geographic areas for MISO Reliability Coordination footprint:  Michigan and Ohio,Unknown *,18500,0,,,2003-08-14 15:00:00
48,2003-08-14 16:09:00,ECAR,Southeastern Michigan including all of Detroit,Unknown *,11000,2100000,"8/16/03, 7:00 AM",2003-08-16 07:00:00,2003-08-14 16:09:00
49,2003-08-14 16:09:00,ECAR,"Southern Lower  Michigan and small areas near Flint, Alma, Saginaw, and Lansing Michigan",Unknown *,1007,101000,"8/16/03, 1:03 PM",2003-08-16 13:03:00,2003-08-14 16:09:00
50,2003-08-14 16:10:00,ECAR,"Northeast, Ohio",Unknown *,7000,1203000,"8/16/03, 8:27 PM",2003-08-16 20:27:00,2003-08-14 16:10:00
51,2003-08-14 16:10:00,NPCC,Southwestern Connecticut and a small portion of Western Massachusetts and Vermont,Unknown *,2500,0,"8/16/03, 3:45 AM",2003-08-16 03:45:00,2003-08-14 16:10:00
52,2003-08-14 16:10:00,NPCC,New York State,Unknown *,22934,0,"8/18/03, 12:03 AM",2003-08-18 00:03:00,2003-08-14 16:10:00
53,2003-08-14 16:10:00,NPCC,"New York- Buffalo to Albany; Ontario, Canada to Pennsylvania",Unknown *,,840137,"8/14/03, 11:48 PM",2003-08-14 23:48:00,2003-08-14 16:10:00
54,2003-08-14 16:10:00,MAAC,"Northern New Jersey Erie, Pennsylvania  area",Unknown *,4500,0,,,2003-08-14 16:10:00
55,2003-08-14 16:11:00,NPCC,Entire Con Edison System (five boroughs of NYC and Westchester County),Unknown *,11202,3125350,"8/15/03, 9:03 PM",2003-08-15 21:03:00,2003-08-14 16:11:00
56,2003-08-26 16:00:00,MAAC,"Maryland: Anne Arundel County, Baltimore County, Calvert County, Carroll County, Howard County, Montgomery County,  Prince George's and Baltimore City.",Severe Thunderstorms,625,0,,,2003-08-26 16:00:00
57,2003-08-26 16:22:00,MAAC,"Washington, D.C.,  Montgomery County,  Prince Georges County, Maryland",Severe Thunderstorms,1500,153000,"8/31/03, 6:00 PM",2003-08-31 18:00:00,2003-08-26 16:22:00
58,2003-09-07 05:19:00,MAIN,Upper Michigan Peninsula,Transmission  Equipment,310,0,"9/07/03, 6:00 PM",2003-09-07 18:00:00,2003-09-07 05:19:00
59,2003-09-18 08:20:00,SERC,"North Eastern North Carolina, Eastern Central , and Northern Virginia",Hurricane Isabel,6512,0,"9/29/03, 10:42 PM",2003-09-29 22:42:00,2003-09-18 08:20:00
60,2003-09-18 11:45:00,SERC,Eastern North Carolina,Hurricane Isabel,1655,0,,,2003-09-18 11:45:00
61,2003-09-18 12:00:00,MAAC,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Hartford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",Hurricane Isabel,2000,650000,"9/26/03, 10:50 PM",2003-09-26 22:50:00,2003-09-18 12:00:00
62,2003-09-18 14:00:00,MAAC,"Maryland, West Virginia, Virginia and Pennsylvania",Hurricane Isabel,3085,237366,,,2003-09-18 14:00:00
63,2003-09-18 15:32:00,SERC,Triangle and Tridad (Greensboro – High Point)  Areas North Carolina - Northern Region,Hurricane Isabel,500,0,"9/19/03, 5:00 PM",2003-09-19 17:00:00,2003-09-18 15:32:00
64,2003-09-18 16:20:00,MAAC,"District of Columbia, Montgomery and Prince George's Counties, Maryland",Hurricane Isabel,,0,"9/28/03, 6:00 PM",2003-09-28 18:00:00,2003-09-18 16:20:00
65,2003-09-18 21:00:00,MAAC,"All PPL including: Williamsport, Harrisburg, Lancaster, Scranton and Allentown areas",Hurricane Isabel,1300,425000,"9/21/03, 5:00 PM",2003-09-21 17:00:00,2003-09-18 21:00:00
66,2003-10-26 01:44:00,WECC,"San Diego County, California",Wild Fire,,0,,,2003-10-26 01:44:00
67,2003-11-05 15:16:00,MAAC,Maryland/Virginia border,Tornado,350,1,"11/05/03, 3:54 PM",2003-11-05 15:54:00,2003-11-05 15:16:00
68,2003-11-12 17:00:00,ECAR,Lower Michigan Peninsula,Wind Storm,75,245000,"11/16/03, 6:00 PM",2003-11-16 18:00:00,2003-11-12 17:00:00
69,2003-11-12 17:00:00,MAIN,Northern Illinois,High Winds,370,51000,"11/12/03, 7:00 PM",2003-11-12 19:00:00,2003-11-12 17:00:00
70,2003-11-12 18:00:00,ECAR,Southeastern Michigan,Storm with High Winds,75,160000,"11/16/03, 5:00 PM",2003-11-16 17:00:00,2003-11-12 18:00:00
71,2003-11-13 06:00:00,MAAC,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Harford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",High Winds,375,110000,"11/16/03, 4:00 PM",2003-11-16 16:00:00,2003-11-13 06:00:00
72,2003-11-13 07:30:00,NPCC,New York,Storm with High Winds,180,50280,"11/14/03, 6:30 AM",2003-11-14 06:30:00,2003-11-13 07:30:00
73,2003-11-13 11:00:00,MAAC,"Washington, D.C., Montgomery County, Prince Georges County, Md",Major Wind Storm,400,0,"11/14/03, 7:30 AM",2003-11-14 07:30:00,2003-11-13 11:00:00
74,2003-11-13 13:40:00,SERC,"Northern Virginia, Richmond area, Eastern Virginia",Wind Storm,300,67000,"11/13/03, 3:51 PM",2003-11-13 15:51:00,2003-11-13 13:40:00
75,2003-12-01 18:16:00,NPCC,Cape Cod and part of SE Massachusetts,Wild Fire – Transmission Equipment,630,300000,"12/01/03, 8:11 PM",2003-12-01 20:11:00,2003-12-01 18:16:00
76,2003-12-04 07:00:00,WECC,Eastern portions of King County and Pierce County,High Winds,175,0,"12/08/03, 7:00 AM",2003-12-08 07:00:00,2003-12-04 07:00:00
77,2003-12-04 22:34:00,MAIN,Northeast Wisconsin and Central/Western Upper Peninsula of Michigan,Fault on 138 KV line,650,0,"12/07/03, 8:30 AM",2003-12-07 08:30:00,2003-12-04 22:34:00
78,2003-12-04 22:15:00,MAIN,Upper Peninsula of Michigan and Northeastern Wisconsin,Fault on 138 KV line,500,36000,"12/08/03, 8:30 AM",2003-12-08 08:30:00,2003-12-04 22:15:00
79,2003-12-05 04:49:00,FRCC,State of Florida - Dade County,Transmission Equipment,27,16500,"12/05/03, 6:25 AM",2003-12-05 06:25:00,2003-12-05 04:49:00
80,2003-12-05 07:00:00,MAIN,Northeast Wisconsin and Central/Western Upper Peninsula of Michigan,Transmission Equipment,14,2,"12/05/03, 8:00 PM",2003-12-05 20:00:00,2003-12-05 07:00:00
81,2003-12-20 15:51:00,WECC,"San Francisco, California",Cable Failure,150,120000,"12/21/03, 11:45 PM",2003-12-21 23:45:00,2003-12-20 15:51:00
82,2003-12-22 11:15:00,WECC,Central California Coast,Earthquake,220,109750,"12/22/03, 11:16 AM",2003-12-22 11:16:00,2003-12-22 11:15:00
83,2003-12-28 21:00:00,WECC,Northern California,Winter Storm,160,241000,"1/01/04, 11:30 AM",2004-01-01 11:30:00,2003-12-28 21:00:00
84,2004-01-01 07:30:00,WECC,Northern California,Winter Storm,170,263000,"1/02/04, 4:00 PM",2004-01-02 16:00:00,2004-01-01 07:30:00
85,2004-01-07 00:00:00,WECC,King County,Snow Storm,150,145000,"1/10/04, 5:00 PM",2004-01-10 17:00:00,2004-01-07 00:00:00
86,2004-01-08 15:00:00,NPCC,"Lake Placid/Saranac, New York",Public Appeal to Reduce Load,100,18600,"1/10/04, 7:00 PM",2004-01-10 19:00:00,2004-01-08 15:00:00
